HGNC.symbol,MGI.symbol
F8A3,F8a
MIR668,Mir668
FAM156A,Tmem29
MIR382,Mir382
SNORD114-31,Gm23787
BTN3A1,Gm36028
GREB1,Greb1
MIR323A,Mir323
MOK,Mok
CDH2,Cdh2
ZNF549,Zfy1
ZNF549,Zfy2
DSG2,Dsg2
RNVU1-31,Gm22317
RNVU1-31,Gm25679
RNVU1-31,Gm26444
RNVU1-31,Gm24305
WBP2NL,Wbp2nl
DCTN4,Dctn4
NEXMIF,Nexmif
ZCCHC12,Zcchc12
ZNF480,Zfy1
ZNF480,Zfy2
GALNT1,Galnt1
SNORA17A,Gm22266
GPR33,Gpr33
SLC25A5,Slc25a5
RLIM,Rlim
COX17,Cox17
COX17,Gm21987
SNORD114-11,AF357341
SNORD114-11,Gm22981
SNORD114-11,Gm25856
SNORA35,Snora35
CENPM,Cenpm
CARD6,Card6
ATRX,Atrx
RNU6-29P,Gm26449
PWWP4,Pwwp4a
PWWP4,Pwwp4b
MAGEE2,Magee2
RPS6KL1,Rps6kl1
DTNA,Dtna
MIR496,Mir496a
RNU6-7,Gm24859
RNU6-7,Gm23296
CHST9,Chst9
MIR105-2,Mir105
DERL1,Derl1
KRTAP11-1,Krtap11-1
RNU6-1232P,Gm23655
RNF138,Rnf138
SPTSSA,Sptssa
CFAP91,Cfap91
SLC16A2,Slc16a2
ZDHHC15,Zdhhc15
ZNF548,Zfy1
ZNF548,Zfy2
VMA21,Vma21
EGLN3,Egln3
ZNF772,Zfy1
ZNF772,Zfy2
C7,C7
PRKAA1,Prkaa1
LPIN1,Lpin1
SREBF2,Srebf2
PASD1,Gm1141
IL13RA2,Il13ra2
ZNF792,Zfy1
ZNF792,Zfy2
PPP2R5C,Ppp2r5c
KRTAP8-1,Krtap8-1
RNU6-646P,Gm23656
FAM156B,Tmem29
VRTN,Vrtn
IL13RA1,Il13ra1
AREL1,Arel1
NUBPL,Nubpl
GAREM1,Garem1
INO80C,Ino80c
CETN2,Cetn2
SNORD114-14,Gm23787
PPP2R3C,Ppp2r3c
CCDC178,Ccdc178
ARSI,Arsi
TTC33,Ttc33
MIR381,Mir381
ASXL3,Asxl3
CFL2,Cfl2
MIR134,Mir134
ZNF793,Zfy1
ZNF793,Zfy2
MARCHF3,Marchf3
CAMK2A,Camk2a
PRRC1,Prrc1
DLST,Dlst
SRP54,Srp54a
SRP54,Srp54b
SRP54,Srp54c
CCDC192,Ccdc192
RBMY1A1,Gm29289
RBMY1A1,Gm21677
RBMY1A1,Gm21693
RBMY1A1,Gm21704
RBMY1A1,Gm21708
RBMY1A1,Gm3376
RBMY1A1,Gm4064
RBMY1A1,Rbmy
RBMY1A1,Gm10256
RBMY1A1,Gm10352
KLHL14,Klhl14
FBN2,Fbn2
HGD,Hgd
SNX6,Snx6
GPR156,Gpr156
FAM9A,Xlr5a
FAM9A,Xlr5b
MYOZ3,Myoz3
COPZ1,Copz1
C18orf21,2700062C07Rik
SOD1,Sod1
PNMA3,Pnma3
SRY,Sry
UPRT,Uprt
NTSR2,Ntsr2
PGRMC1,Pgrmc1
ZNF154,Zfy1
ZNF154,Zfy2
ZNF610,Zfy1
ZNF610,Zfy2
PTGER4,Ptger4
ALDH7A1,Aldh7a1
RNU6-1229P,Gm24296
SNTB1,Sntb1
SLC39A6,Slc39a6
TNFRSF13C,Tnfrsf13c
NPC2,Npc2
ELP2,Elp2
TEX43,Tex43
MIR541,Mir541
RPL37,Rpl37
MIR148B,Mir148b
FAM177A1,Fam177a
FAM177A1,Fam177a2
RNU6-391P,Gm25652
ZNF837,Zfy1
ZNF837,Zfy2
SHISA8,Shisa8
MAGT1,Magt1
SNORD114-4,Gm23787
SLC27A6,Slc27a6
ZNF134,Zfy1
ZNF134,Zfy2
DSG1,Dsg1c
DSG1,Dsg1a
DSG1,Dsg1b
MAPRE2,Mapre2
PROX2,Prox2
MIR105-1,Mir105
MAGEE1,Magee1
PNMA5,Pnma5
PBDC1,Pbdc1
DYNC1H1,Dync1h1
RNU6-945P,Gm25652
SMIM3,Smim3
MIR412,Mir412
DSC3,Dsc3
VN1R5,Vmn1r239-ps
SNORD114-16,AF357341
SNORD114-16,Gm22981
SNORD114-16,Gm25856
TCOF1,Tcof1
KDM5D,Kdm5d
GABRQ,Gabrq
MIR299,Mir299a
PHAX,Phax
LRRC58,Lrrc58
ZNF562,Zfy1
ZNF562,Zfy2
ARHGAP5,Arhgap5
CD74,Cd74
BMERB1,Bmerb1
MROH2B,Mroh2b
GRAMD2B,Gramd3
E2F6,E2f6
RNU6-408P,Gm23378
BAZ1A,Baz1a
RBM22,Rbm22
SLC12A2,Slc12a2
RABL3,Rabl3
MAGEA10,Magea4
MAGEA10,Magea10
NR1I2,Nr1i2
STEEP1,Steep1
TXNL1,Txnl1
CEBPD,Cebpd
SNORD63B,Gm22200
IGKV5-2,Igkv17-127
IGKV5-2,Igkv17-121
SMARCA2,Smarca2
BATF,Batf
CDC25C,Cdc25c
DNAJB4,Dnajb4
ARHGEF3,Arhgef3
PPM1F,Ppm1f
EEF1AKMT1,Eef1akmt1
TGIF2LX,Tgif2lx2
TGIF2LX,Tgif2lx1
DAB2,Dab2
SNORA65,Gm26440
WDHD1,Wdhd1
MAPK1IP1L,Mapk1ip1l
CD96,Cd96
ROCK2,Rock2
TRIB1,Trib1
KPNA4,Kpna4
TATDN1,Tatdn1
ADRB1,Adrb1
PTGFR,Ptgfr
SLAIN1,Slain1
RD3L,Rd3l
TMEM191B,Tmem191c
NDUFA1,Ndufa1
SIL1,Sil1
NRAP,Nrap
CDPF1,Cdpf1
DMRT1,Dmrt1
UPF3B,Upf3b
TPGS2,Tpgs2
RNU6-583P,Gm24491
KIAA1328,AW554918
SLC35A3,Slc35a3
KCTD12,Kctd12
DACH2,Dach2
FBXO34,Fbxo34
NMD3,Nmd3
MIPOL1,Mipol1
TRMT13,Trmt13
OR9H1P,Olfr466
MCTS1,Mcts1
HMGXB3,Hmgxb3
IL17B,Il17b
TOP3B,Top3b
TMEM171,Tmem171
POF1B,Pof1b
LRTM1,Lrtm1
CCS,Ccs
TRBV20-1,Trbv20
SPINK7,Spink7
NKX2-1,Nkx2-1
STARD4,Stard4
KLF5,Klf5
TRBV15,Trbv17
FASTKD3,Fastkd3
RNU6-806P,Gm24263
NDUFB5,Ndufb5
NSA2,Nsa2
DNAJC28,Dnajc28
RNF139,Rnf139
PDE12,Pde12
TIMMDC1,Timmdc1
RRP7A,Rrp7a
XPO4,Xpo4
CD248,Cd248
PELI3,Peli3
NHLRC2,Nhlrc2
MIR361,Mir361
RAMACL,Gm10767
MZT2B,Mzt2
MTMR9,Mtmr9
TAF9B,Taf9b
MIR301B,Mir301b
PRR5-ARHGAP8,Arhgap8
BBS1,Bbs1
AMN,Amn
HIVEP1,Hivep1
ATG14,Atg14
KRBOX1,Zfp65
C3orf52,BC016579
RAB43,Rab43
SPATA31D3,Spata31d1c
GIPC2,Gipc2
WDR49,Wdr49
RP1L1,Rp1l1
DUSP9,Dusp9
TJP2,Tjp2
ZNF200,Zfp65
OTOL1,Otol1
MZT1,Mzt1
LIMS2,Lims2
DENND6A,Dennd6a
ACTN3,Actn3
XIAP,Xiap
CD200,Cd200
TRAPPC6B,Trappc6b
GPX6,Gpx6
SPAG6,Spag6l
PACSIN2,Pacsin2
SOX7,Sox7
YWHAQ,Ywhaq
REEP2,Reep2
EDNRB,Ednrb
PPARGC1B,Ppargc1b
YPEL1,Ypel1
CELF4,Celf4
PGK1,Pgk1
HUNK,Hunk
FBXO38,Fbxo38
SELENBP1,Selenbp2
CLN5,Cln5
MIR378A,Mir378a
P2RY10,P2ry10
A4GALT,A4galt
ISY1-RAB43,Isy1
JDP2,Jdp2
ATG3,Atg3
EIF2B2,Eif2b2
RPS6KA6,Rps6ka6
TRBC1,Trbc1
TRBC1,Trbc2
NOXRED1,Noxred1
CAPSL,Capsl
SPATA31C2,Spata31
ZNF711,Zfp711
DBT,Dbt
PKDREJ,Pkdrej
SEC23A,Sec23a
WNK3,Wnk3
IFI44L,Ifi44l
GAL3ST3,Gal3st3
SNX32,Snx32
RNU6-304P,Gm24522
CEP20,Cep20
PNMA6E,Gm45015
PNMA6E,Gm18336
SMIM13,Smim13
SQLE,Sqle
CST6,Cst6
PFKFB1,Pfkfb1
TRBV11-3,Trbv14
RNU6-1278P,Gm22766
POGLUT1,Poglut1
SFT2D3,Sft2d3
EFCC1,Efcc1
FAM9A,Xlr5c
CYS1,Cys1
TTC38,Ttc38
RAB1B,Rab1b
PGBD1,Pgbd1
KIAA0930,5031439G07Rik
CLDN10,Cldn10
MIR15B,Mir15b
TRBV19,Trbv19
MAPK1,Mapk1
DMRT2,Dmrt2
LRATD2,Lratd2
FYB1,Fyb
FGD4,Fgd4
RNU6-820P,Gm23302
TMED10,Tmed10
RIMBP3,Rimbp3
GFM2,Gfm2
TMEM151A,Tmem151a
CD80,Cd80
POLR2D,Polr2d
IFT80,Ift80
HEXB,Hexb
GPR88,Gpr88
CRYL1,Cryl1
TDRD1,Tdrd1
EGR1,Egr1
FOSL1,Fosl1
CYRIB,Cyrib
OAZ3,Oaz3
TRMU,Trmu
RNU2-1,Gm22973
FAM124A,Fam124a
ACTR8,Actr8
HTR4,Htr4
CUL4B,Cul4b
HDX,Hdx
PHACTR1,Phactr1
KLRG1,Klrg1
PPP1R1A,Ppp1r1a
TSGA10IP,Tsga10ip
EGFLAM,Egflam
MIR16-2,Mir16-2
IGKV1D-42,Igkv16-104
IGKV1D-42,Igkv15-103
HIC2,Hic2
PNMA6F,Gm45015
PNMA6F,Gm18336
TASOR,Tasor
CYB5R3,Cyb5r3
OR2W1,Olfr1369-ps1
OR2W1,Olfr263
LATS2,Gm49361
LATS2,Lats2
B3GALNT1,B3galnt1
LGALS3,Lgals3
KANK1,Kank1
NEDD9,Nedd9
SH3TC2,Sh3tc2
GJA3,Gja3
ZNF678,Zfp457
ZNF678,Zfp595
ZNF678,Zfp953
ZNF678,Gm49345
ZNF678,Zfp738
SMC4,Smc4
CBWD3,Cbwd1
FOXD4L4,Foxd4
WDR33,Wdr33
SPATA31D1,Spata31d1c
DNAH12,Dnah12
OBI1,Obi1
SERPINE3,Serpine3
ARL11,Arl11
RIIAD1,Riiad1
MBIP,Mbip
FDFT1,Fdft1
ERCC3,Ercc3
ASAP2,Asap2
PDIA6,Pdia6
IWS1,Iws1
NAA50,Naa50
SAMD15,Samd15
TMEM255A,Tmem255a
SERPINI1,Serpini1
BTN1A1,Btn1a1
PAX9,Pax9
SCUBE1,Scube1
ARL14,Arl14
RNU2-4P,Gm26108
RNU6-608P,Gm26437
DMRT3,Dmrt3
CCDC191,Ccdc191
ZNF845,Zfp712
ZNF845,Zfp759
ZNF845,Zfp458
ZNF845,Zfp459
ZNF845,Zfp748
ZNF845,Zfp729b
ZNF845,Zfp729a
PRSS1,Try4
PRSS1,Try5
PRSS1,Try10
PRSS1,Prss3
PRSS1,Gm5771
PRSS1,Gm10334
PRSS1,Prss1
PRSS1,Prss2
RNU1-141P,Gm25130
SON,Son
GPR180,Gpr180
RPL29,Gm3550
SPATA13,Spata13
RBM14,Rbm14
CCDC66,Ccdc66
TRBV10-3,Trbv13-1
TRBV10-3,Trbv13-2
TRBV10-3,Trbv13-3
MIR20A,Mir20a
NFKBIA,Nfkbia
CHDH,Chdh
SLCO1B3,Slco1b2
SPEF2,Spef2
PSPC1,Pspc1
MIR17,Mir17
CHM,Chm
AMMECR1L,Ammecr1l
TENT5D,Tent5d
TAGLN3,Tagln3
RCBTB1,Rcbtb1
DYNLL1,BC048507
OLIG2,Olig2
ATP7A,Atp7a
KIF20A,Kif20a
UPK1B,Upk1b
APC,Apc
RCOR1,Rcor1
GATA4,Gata4
CD200R1L,Cd200r1
CD200R1L,Cd200r4
CD200R1L,Cd200r2
CD200R1L,Cd200r3
RBM26,Rbm26
PIP5K1B,Pip5k1b
GFOD1,Gfod1
C5orf49,1700001L19Rik
SRPK3,Srpk3
TRBV28,Trbv29
RELA,Rela
ABT1,Abt1
RIMBP3B,Rimbp3
KLF11,Klf11
LRRC39,Lrrc39
DRAP1,Drap1
LPAR4,Lpar4
KCNF1,Kcnf1
EXTL2,Extl2
TAF1B,Taf1b
RIBC2,Ribc2
ERG28,Erg28
CNTNAP3B,Cntnap3
PRSS16,Prss16
CBWD5,Cbwd1
NEIL2,Neil2
TACSTD2,Tacstd2
VASH1,Vash1
WDR70,Wdr70
SPIDR,Spidr
AMER2,Amer2
MTERF3,Mterf3
ABLIM3,Ablim3
RNU6-407P,Gm26441
ARFGAP3,Arfgap3
EVA1C,Eva1c
ZNF682,Zfp457
ZNF682,Zfp595
ZNF682,Zfp953
ZNF682,Gm49345
ZNF682,Zfp738
KLC1,Klc1
H2AB1,H2ab2
H2AB1,H2ab1
H2AB1,H2ab3
LSAMP,Lsamp
FAM169A,Fam169a
MIR145,Mir145a
RNU6-358P,Gm23116
KLHL4,Klhl4
FAM167A,Fam167a
PACS1,Pacs1
TGIF2LY,Tgif2lx2
TGIF2LY,Tgif2lx1
PKP2,Pkp2
PDGFRB,Pdgfrb
B4GAT1,B4gat1
B4GAT1,Gm50388
ZMYM2,Zmym2
SPATA31A3,Spata31
FOXD4L3,Foxd4
CCDC85B,Ccdc85b
KLF9,Klf9
ATXN10,Atxn10
YDJC,Ydjc
SETDB2,Setdb2
FAM189A2,Fam189a2
RNU6-259P,Gm24651
ABCC1,Abcc1
CD200R1,Cd200r1
CD200R1,Cd200r4
CD200R1,Cd200r2
CD200R1,Cd200r3
IGKV1D-37,Igkv16-104
IGKV1D-37,Igkv15-103
NUP50,Nup50
FER1L6,Fer1l6
POMT2,Pomt2
SMC5,Smc5
FBLN1,Fbln1
ZNF727,Zfp457
ZNF727,Zfp595
ZNF727,Zfp953
ZNF727,Gm49345
ZNF727,Zfp738
TNFAIP2,Tnfaip2
GDNF,Gdnf
IDH3G,Idh3g
SLC9C1,Slc9c1
MIR143,Mir143
BANF1,Banf1
ANKRD9,Ankrd9
SPRY2,Spry2
CLEC14A,Clec14a
RIN1,Rin1
ANKRA2,Ankra2
BTF3,Btf3
SLITRK5,Slitrk5
DEFB135,Defb30
GP9,Gp9
SNORD63,Gm26109
PINX1,Pinx1
MTMR6,Mtmr6
IL10RB,Gm21970
IL10RB,Il10rb
SKA3,Ska3
RNU1-101P,Gm23972
TSLP,Tslp
ADCY8,Adcy8
OR7A10,Olfr19
SYCP2L,Sycp2l
SI,Sis
SPATA31A1,Spata31
PHETA2,Pheta2
TPM3,Tpm3-rs7
GNL3L,Gnl3l
RAMAC,Gm10767
TBX22,Tbx22
NECTIN3,Nectin3
BRMS1L,Brms1l
APCDD1,Apcdd1
SSTR1,Sstr1
PLP2,Gm6169
PNPLA3,Pnpla3
BAG5,Bag5
SHISA2,Shisa2
IGKV1-37,Igkv16-104
IGKV1-37,Igkv15-103
ABHD10,Abhd10
GTPBP8,Gtpbp8
ZNF274,Zfp369
CDC23,Cdc23
CFAP298,Cfap298
TTLL1,Ttll1
DACH1,Dach1
SPINK13,Spink13
FUBP1,Fubp1
NKX2-8,Nkx2-9
UBE2V2,Ube2v2
FRRS1,Frrs1
WASHC5,Washc5
TRO,Tro
MIR15A,Mir15a
PZP,Mug2
CIPC,Cipc
PNCK,Pnck
MIR203B,Mir203
SOCS4,Socs4
NKRF,Nkrf
PLXNB3,Plxnb3
CYSLTR1,Cysltr1
NKAP,Nkap
ASPG,Aspg
MAGED2,Maged2
VCAM1,Vcam1
APOOL,Apool
PRORP,Prorp
OR7A5,Olfr19
TRBV11-1,Trbv14
HAUS7,Haus7
ZBBX,Zbbx
ATP6V1A,Atp6v1a
ZBTB20,Zbtb20
POM121L2,Pom121l2
PPIL2,Ppil2
ENC1,Enc1
ARHGAP8,Arhgap8
ZDHHC22,Zdhhc22
IL7R,Il7r
TBC1D4,Tbc1d4
MYCBP2,Mycbp2
SF3B2,Sf3b2
SOX21,Sox21
SRP19,Srp19
ELOVL2,Elovl2
CFL1,Cfl1
BTLA,Btla
ETF1,Etf1
SLITRK1,Slitrk1
CCDC80,Ccdc80
PAXBP1,Paxbp1
MLH3,Mlh3
ODC1,Odc1
ISY1,Isy1
RNU6-1275P,Gm23116
MYO7B,Myo7b
LAMP2,Lamp2
PRSS3,Try4
PRSS3,Try5
PRSS3,Try10
PRSS3,Prss3
PRSS3,Gm5771
PRSS3,Gm10334
PRSS3,Prss1
PRSS3,Prss2
M6PR,M6pr
CYCS,Gm10053
B4GALT4,B4galt4
KLF12,Klf12
ZNF322,Zfp322a
TRBV12-4,Trbv15
TRBV12-4,Trbv16
CPLANE1,Cplane1
ITGB1BP1,Itgb1bp1
C1GALT1C1,C1galt1c1
IL17D,Il17d
RTL3,Rtl3
ANGEL1,Angel1
ATP5MJ,Atp5mpl
KPNA3,Kpna3
FBXL3,Fbxl3
SPICE1,Spice1
RNU6-636P,Gm25061
TBC1D7,Tbc1d7
RNU6-1232P,Gm22139
SLC66A3,Pqlc3
OLIG1,Olig1
ITM2A,Itm2a
CAMK4,Camk4
PUM3,Pum3
NGB,Ngb
HABP2,Habp2
TRAF3,Traf3
MIR19B1,Mir19b-1
SPATA31A5,Spata31
MCM4,Mcm4
IGKV1-9,Igkv16-104
IGKV1-9,Igkv15-103
C13orf42,Gm4131
FOXD4L1,Foxd4
GCSAM,Gcsam
SPINK9,Spink10
APLF,Aplf
